Date,Open,High,Low,Close,Volume
2025-05-27 08:00:00+00:00,175.47,176.61,175.34,175.85,111590.985
2025-05-27 09:00:00+00:00,175.84,176.06,175.01,175.89,69010.039
2025-05-27 10:00:00+00:00,175.89,176.3,175.7,176.16,53882.759
2025-05-27 11:00:00+00:00,176.16,177.17,175.48,176.8,91415.224
2025-05-27 12:00:00+00:00,176.8,177.4,176.28,177.02,81802.03
2025-05-27 13:00:00+00:00,177.02,179.41,176.76,177.68,340040.871
2025-05-27 14:00:00+00:00,177.68,178.4,175.02,177.2,223567.371
2025-05-27 15:00:00+00:00,177.2,178.72,176.65,178.44,138867.371
2025-05-27 16:00:00+00:00,178.45,179.1,177.52,178.18,110895.916
2025-05-27 17:00:00+00:00,178.17,179.3,177.94,178.41,147758.439
2025-05-27 18:00:00+00:00,178.41,179.16,177.97,178.55,77954.126
2025-05-27 19:00:00+00:00,178.55,179.29,177.43,177.5,84712.131
2025-05-27 20:00:00+00:00,177.51,178.64,177.17,178.02,61893.512
2025-05-27 21:00:00+00:00,178.02,178.26,175.93,176.39,89000.759
2025-05-27 22:00:00+00:00,176.4,177.0,175.42,176.63,88791.471
2025-05-27 23:00:00+00:00,176.63,177.02,176.1,176.71,44235.188
2025-05-28 00:00:00+00:00,176.72,177.4,175.86,177.24,68894.432
2025-05-28 01:00:00+00:00,177.25,177.45,175.2,175.47,77166.074
2025-05-28 02:00:00+00:00,175.46,175.46,174.38,174.62,151917.658
2025-05-28 03:00:00+00:00,174.62,175.29,174.22,175.12,80563.012
2025-05-28 04:00:00+00:00,175.13,175.33,174.33,174.9,49298.744
2025-05-28 05:00:00+00:00,174.91,175.18,174.5,174.6,58875.114
2025-05-28 06:00:00+00:00,174.6,174.61,173.7,174.04,67230.78
2025-05-28 07:00:00+00:00,174.05,174.53,173.8,173.89,66027.048
2025-05-28 08:00:00+00:00,173.9,174.47,173.5,174.11,101890.817
2025-05-28 09:00:00+00:00,174.11,174.16,172.9,173.43,76330.574
2025-05-28 10:00:00+00:00,173.43,174.32,172.86,174.0,101724.911
2025-05-28 11:00:00+00:00,174.0,174.53,173.66,174.51,44635.034
2025-05-28 12:00:00+00:00,174.52,175.13,174.13,174.22,119675.085
2025-05-28 13:00:00+00:00,174.22,174.51,172.45,172.59,158877.517
2025-05-28 14:00:00+00:00,172.58,172.94,170.03,170.18,323275.744
2025-05-28 15:00:00+00:00,170.17,170.55,168.92,169.7,271484.926
2025-05-28 16:00:00+00:00,169.71,171.06,169.58,171.06,109619.62
2025-05-28 17:00:00+00:00,171.05,172.03,170.25,170.86,121456.465
2025-05-28 18:00:00+00:00,170.87,171.5,169.82,169.97,100765.57
2025-05-28 19:00:00+00:00,169.96,170.89,169.13,169.42,136244.136
2025-05-28 20:00:00+00:00,169.42,170.8,169.23,170.79,66194.196
2025-05-28 21:00:00+00:00,170.8,171.6,170.55,171.54,34303.454
2025-05-28 22:00:00+00:00,171.53,171.58,170.36,170.9,45201.317
2025-05-28 23:00:00+00:00,170.9,172.66,170.9,172.21,103008.649
